insular, insular, +
 hump, hump, +
 scale, scale, +
 wing, wing, +
 fluffy, fluffy, +
 carnal, carnal, +
 nervous, nervous, +
 fat, fat, +
 grease, grease, +
 greasy, greasy, +
 turtle, turtle, +
 beaver, beaver, +
 jellyfish, jellyfish, +
 starfish, starfish, +
 whale, whale, +
 porpoise, porpoise, +
 dolphin, dolphin, +
 prawn, prawn, +
 shrimp, shrimp, +
 lobster, lobster, +
 sponge, sponge, +
 plankton, plankton, +
 oyster, oyster, +
 clam, clam, +
 coral, coral, +
 crab, crab, +
 penal, penal, +
 illicit, illicit, +
 unruly, unruly, +
 illegitimate, illegitimate, +
 default, default, +
 violate, violate, +
 violation, violation, +
 infringe, infringe, +
 bound, bound, +
 compulsory, compulsory, +
 oblige, oblige, +
 obligatory, obligatory, +
 responsible, responsible, +
 domineering, domineering, +
 mandatory, mandatory, +
 licensed, licensed, +
 heirship, heirship, +
 jurisdiction, jurisdiction, +
 arbitration, arbitration, +
 fine, fine, +
 confiscate, confiscate, +
 convict, convict, +
 verdict, verdict, +
 judgment, judgment, +
 indemnity, indemnity, +
 imprisonment, imprisonment, +
 invalidate, invalidate, +
 imprisonment, imprisonment, +
 captivity, captivity, +
 trial, trial, +
 detain, detain, +
 extenuate, extenuate, +
 saddle, saddle, +
 court, court, +
 bar, bar, +
 authorize, authorize, +
 empower, empower, +
 plea, plea, +
 oath, oath, +
 pledge, pledge, +
 plaintiff, plaintiff, +
 plead, plead, +
 flee, flee, +
 defend, defend, +
 proscribe, proscribe, +
 forbid, forbid, +
 abstinence, abstinence, +
 abstain, abstain, +
 ban, ban, +
 veto, veto, +
 revise, revise, +
 verify, verify, +
 deserve, deserve, +
 stipulate, stipulate, +
 testify, testify, +
 testimony, testimony, +
 justify, justify, +
 substantiate, substantiate, +
 confirm, confirm, +
 affirm, affirm, +
 assure, assure, +
 evidence, evidence, +
 follow, follow, +
 observe, observe, +
 observance, observance, +
 abide, abide, +
 accuse, accuse, +
 accusation, accusation, +
 complaint, complaint, +
 impeach, impeach, +
 indictment, indictment, +
 incriminate, incriminate, +
 prosecute, prosecute, +
 denounce, denounce, +
 lawsuit, lawsuit, +
 query, query, +
 interrogate, interrogate, +
 impunity, impunity, +
 exempt, exempt, +
 condone, condone, +
 liberate, liberate, +
 remit, remit, +
 release, release, +
 absolve, absolve, +
 acquit, acquit, +
 abolish, abolish, +
 term, term, +
 clause, clause, +
 bill, bill, +
 constitution, constitution, +
 decree, decree, +
 legislate, legislate, +
 legislation, legislation, +
 legalize, legalize, +
 prescribe, prescribe, +
 set, set, +
 credential, credential, +
 standard, standard, +
 enact, enact, +
 hackneyed, hackneyed, +
 caustic, caustic, +
 erosion, erosion, +
 erode, erode, +
 stale, stale, +
 rot, rot, +
 rotten, rotten, +
 decay, decay, +
 corrode, corrode, +
 decomposition, decomposition, +
 rust, rust, +
 silica, silica, +
 limestone, limestone, +
 crystal, crystal, +
 gasoline, gasoline, +
 methane, methane, +
 hydrocarbon, hydrocarbon, +
 petroleum, petroleum, +
 plastic, plastic, +
 intermediary, intermediary, +
 catalysis, catalysis, +
 catalyst, catalyst, +
 adhesive, adhesive, +
 scorch, scorch, +
 bleach, bleach, +
 tint, tint, +
 dye, dye, +
 chemistry, chemistry, +
 biochemistry, biochemistry, +
 hydronic, hydronic, +
 alchemy, alchemy, +
 artificial, artificial, +
 ion, ion, +
 molecule, molecule, +
 solubility, solubility, +
 solution, solution, +
 solvent, solvent, +
 dissolve, dissolve, +
 element, element, +
 impurity, impurity, +
 blend, blend, +
 compound, compound, +
 substance, substance, +
 particle, particle, +
 explosive, explosive, +
 blast, blast, +
 explode, explode, +
 burning, burning, +
 kindle, kindle, +
 sear, sear, +
 ignite, ignite, +
 action, action, +
 combination, combination, +
 neutralize, neutralize, +
 polymerization, polymerization, +
 functional, functional, +
 synthetic, synthetic, +
 carbon, carbon, +
 copper, copper, +
 lead, lead, +
 Mercury, Mercury, +
 nickel, nickel, +
 platinum, platinum, +
 silver, silver, +
 sodium, sodium, +
 tin, tin, +
 zinc, zinc, +
 calcium, calcium, +
 helium, helium, +
 silicon, silicon, +
 ammonia, ammonia, +
 sulfur, sulfur, +
 iodine, iodine, +
 nitrogen, nitrogen, +
 oxygen, oxygen, +
 noxious, noxious, +
 pollute, pollute, +
 pollutant, pollutant, +
 pollution, pollution, +
 contaminate, contaminate, +
 waste, waste, +
 sewage, sewage, +
 fume, fume, +
 habitat, habitat, +
 balance, balance, +
 ecosystem, ecosystem, +
 fauna, fauna, +
 decibel, decibel, +
 ozonosphere, ozonosphere, +
 didactic, didactic, +
 leading, leading, +
 sermon, sermon, +
 initiate, initiate, +
 instill, instill, +
 instruct, instruct, +
 enlighten, enlighten, +
 edify, edify, +
 lead, lead, +
 direct, direct, +
 conduct, conduct, +
 curriculum, curriculum, +
 discipline, discipline, +
 toll, toll, +
 precious, precious, +
 prosperous, prosperous, +
 prosperity, prosperity, +
 rich, rich, +
 rare, rare, +
 asset, asset, +
 fortune, fortune, +
 opulence, opulence, +
 finance, finance, +
 economic, economic, +
 indigent, indigent, +
 depression, depression, +
 penury, penury, +
 bidding, bidding, +
 drawback, drawback, +
 exponent, exponent, +
 lease, lease, +
 redress, redress, +
 compensation, compensation, +
 deficit, deficit, +
 levy, levy, +
 ration, ration, +
 rebate, rebate, +
 merchandise, merchandise, +
 commerce, commerce, +
 enterprise, enterprise, +
 currency, currency, +
 inventory, inventory, +
 quota, quota, +
 tariff, tariff, +
 inflation, inflation, +
 deal, deal, +
 yen, yen, +
 cause, cause, +
 consume, consume, +
 disburse, disburse, +
 acting, acting, +
 inertia, inertia, +
 discount, discount, +
 audit, audit, +
 shipment, shipment, +
 surplus, surplus, +
 residue, residue, +
 account, account, +
 bankruptcy, bankruptcy, +
 savings, savings, +
 collateral, collateral, +
 bill, bill, +
 check, check, +
 coin, coin, +
 depreciate, depreciate, +
 merge, merge, +
 reimburse, reimburse, +
 garner, garner, +
 underestimate, underestimate, +
 exchange, exchange, +
 assess, assess, +
 consolidate, consolidate, +
 loan, loan, +
 refund, refund, +
 utility, utility, +
 selection, selection, +
 option, option, +
 economics, economics, +
 output, output, +
 goods, goods, +
 opportunity, opportunity, +
 benefit, benefit, +
 contract, contract, +
 lottery, lottery, +
 transaction, transaction, +
 budget, budget, +
 patronage, patronage, +
 choose, choose, +
 choice, choice, +
 barter, barter, +
 purchase, purchase, +
 deposit, deposit, +
 commission, commission, +
 ransom, ransom, +
 toll, toll, +
 charge, charge, +
 bond, bond, +
 custom, custom, +
 bonus, bonus, +
 interest, interest, +
 means, means, +
 debt, debt, +
 fund, fund, +
 revenue, revenue, +
 confidential, confidential, +
 clandestine, clandestine, +
 cipher, cipher, +
 dissimulate, dissimulate, +
 disarm, disarm, +
 disarming, disarming, +
 scout, scout, +
 fort, fort, +
 fortress, fortress, +
 hatchet, hatchet, +
 dagger, dagger, +
 armor, armor, +
 corps, corps, +
 armament, armament, +
 enlist, enlist, +
 recruit, recruit, +
 array, array, +
 squad, squad, +
 raid, raid, +
 charge, charge, +
 encroach, encroach, +
 despoil, despoil, +
 invade, invade, +
 assault, assault, +
 exterminate, exterminate, +
 extinguish, extinguish, +
 absorb, absorb, +
 onset, onset, +
 repulse, repulse, +
 expedition, expedition, +
 siege, siege, +
 envelop, envelop, +
 beset, beset, +
 besiege, besiege, +
 morale, morale, +
 mandate, mandate, +
 tactics, tactics, +
 naval, naval, +
 military, military, +
 archeology, archeology, +
 invaluable, invaluable, +
 unearth, unearth, +
 scoop, scoop, +
 exhume, exhume, +
 excavate, excavate, +
 excavation, excavation, +
 Neolithic, Neolithic, +
 Mesolithic, Mesolithic, +
 Paleolithic, Paleolithic, +
 origin, origin, +
 chronological, chronological, +
 archaic, archaic, +
 ascend, ascend, +
 originate, originate, +
 primitive, primitive, +
 remnant, remnant, +
 porcelain, porcelain, +
 antique, antique, +
 antiquity, antiquity, +
 skull, skull, +
 artifact, artifact, +
 prolific, prolific, +
 rich, rich, +
 fertile, fertile, +
 harvest, harvest, +
 agriculture, agriculture, +
 agricultural, agricultural, +
 aquaculture, aquaculture, +
 arable, arable, +
 indigenous, indigenous, +
 fertilizer, fertilizer, +
 husbandry, husbandry, +
 graze, graze, +
 cultivate, cultivate, +
 cultivation, cultivation, +
 manure, manure, +
 horticulture, horticulture, +
 hydroponics, hydroponics, +
 insecticide, insecticide, +
 irrigate, irrigate, +
 pesticide, pesticide, +
 ridge, ridge, +
 silt, silt, +
 tractor, tractor, +
 squash, squash, +
 cotton, cotton, +
 garlic, garlic, +
 eggplant, eggplant, +
 fodder, fodder, +
 hay, hay, +
 haystack, haystack, +
 vegetable, vegetable, +
 weed, weed, +
 sorghum, sorghum, +
 livestock, livestock, +
 poultry, poultry, +
 buffalo, buffalo, +
 cattle, cattle, +
 fowl, fowl, +
 sow, sow, +
 conservatory, conservatory, +
 barn, barn, +
 cowshed, cowshed, +
 granary, granary, +
 greenhouse, greenhouse, +
 seedbed, seedbed, +
 sheepfold, sheepfold, +
 orchard, orchard, +
 pasture, pasture, +
 pigpen, pigpen, +
 pigsty, pigsty, +
 plantation, plantation, +
 ranch, ranch, +
 trough, trough, +
 balmy, balmy, +
 humid, humid, +
 humidity, humidity, +
 damp, damp, +
 dank, dank, +
 moisture, moisture, +
 saturate, saturate, +
 drought, drought, +
 arid, arid, +
 chilly, chilly, +
 chill, chill, +
 frigid, frigid, +
 serene, serene, +
 tepid, tepid, +
 gale, gale, +
 hurricane, hurricane, +
 atmosphere, atmosphere, +
 climate, climate, +
 barometer, barometer, +
 breeze, breeze, +
 blast, blast, +
 whirlwind, whirlwind, +
 typhoon, typhoon, +
 tornado, tornado, +
 meteorology, meteorology, +
 troposphere, troposphere, +
 current, current, +
 funnel, funnel, +
 smog, smog, +
 fog, fog, +
 precipitate, precipitate, +
 precipitation, precipitation, +
 drizzle, drizzle, +
 blizzard, blizzard, +
 dew, dew, +
 downpour, downpour, +
 droplet, droplet, +
 frost, frost, +
 vapor, vapor, +
 tempest, tempest, +
 shower, shower, +
 hail, hail, +
 condense, condense, +
 crystal, crystal, +
 juvenile, juvenile, +
 adult, adult, +
 human, human, +
 anthropology, anthropology, +
 tribe, tribe, +
 ethnic, ethnic, +
 ethnology, ethnology, +
 minority, minority, +
 descent, descent, +
 hybrid, hybrid, +
 intelligence, intelligence, +
 intellectual, intellectual, +
 aboriginal, aboriginal, +
 ancestor, ancestor, +
 forerunner, forerunner, +
 hominid, hominid, +
 cranial, cranial, +
 counsel, counsel, +
 crew, crew, +
 aviator, aviator, +
 playwright, playwright, +
 operator, operator, +
 clergy, clergy, +
 auditor, auditor, +
 athlete, athlete, +
 satirist, satirist, +
 sculptor, sculptor, +
 mathematician, mathematician, +
 astronaut, astronaut, +
 astronomer, astronomer, +
 spaceman, spaceman, +
 botanist, botanist, +
 choreographer, choreographer, +
 scout, scout, +
 geographer, geographer, +
 geologist, geologist, +
 educator, educator, +
 faculty, faculty, +
 treasurer, treasurer, +
 archeologist, archeologist, +
 paleoanthropologist, paleoanthropologist, +
 pilot, pilot, +
 meteorologist, meteorologist, +
 anthropologist, anthropologist, +
 artist, artist, +
 imagist, imagist, +
 inventor, inventor, +
 mechanic, mechanic, +
 biographer, biographer, +
 censor, censor, +
 physician, physician, +
 hermit, hermit, +
 recluse, recluse, +
 ecologist, ecologist, +
 critic, critic, +
 philanthropist, philanthropist, +
 attorney, attorney, +
 congressman, congressman, +
 connoisseur, connoisseur, +
 entrepreneur, entrepreneur, +
 principal, principal, +
 staff, staff, +
 commander, commander, +
 commentator, commentator, +
 attendant, attendant, +
 trapper, trapper, +
 orator, orator, +
 idiot, idiot, +
 idiocy, idiocy, +
 moron, moron, +
 illiterate, illiterate, +
 proxy, proxy, +
 deputy, deputy, +
 proprietor, proprietor, +
 consumer, consumer, +
 employer, employer, +
 employee, employee, +
 debtor, debtor, +
 arbitrator, arbitrator, +
 superintendent, superintendent, +
 apprentice, apprentice, +
 tenant, tenant, +
 miser, miser, +
 donor, donor, +
 personnel, personnel, +
 benefactor, benefactor, +
 mortal, mortal, +
 company, company, +
 audience, audience, +
 recipient, recipient, +
 exponent, exponent, +
 resident, resident, +
 inhabitant, inhabitant, +
 bachelor, bachelor, +
 idol, idol, +
 novice, novice, +
 believer, believer, +
 cult, cult, +
 fanatic, fanatic, +
 adherent, adherent, +
 faithful, faithful, +
 disciple, disciple, +
 champion, champion, +
 assassin, assassin, +
 bandit, bandit, +
 burglar, burglar, +
 barbarian, barbarian, +
 exile, exile, +
 rebel, rebel, +
 addict, addict, +
 egoist, egoist, +
 eyewitness, eyewitness, +
 spectator, spectator, +
 spouse, spouse, +
 couple, couple, +
 beneficiary, beneficiary, +
 inferior, inferior, +
 zealot, zealot, +
 precursor, precursor, +
 avant-garde, avant-garde, +
 alumni, alumni, +
 skeptic, skeptic, +
 malcontent, malcontent, +
 foe, foe, +
 opponent, opponent, +
 rival, rival, +
 celebrity, celebrity, +
 figurehead, figurehead, +
 veteran, veteran, +
 traitor, traitor, +
 advocate, advocate, +
 feminist, feminist, +
 humanitarian, humanitarian, +
 throng, throng, +
 civilian, civilian, +
 monarch, monarch, +
 conservative, conservative, +
 envoy, envoy, +
 aristocrat, aristocrat, +
 gentry, gentry, +
 autocrat, autocrat, +
 delegate, delegate, +
 democrat, democrat, +
 independent, independent, +
 candidate, candidate, +
 urban, urban, +
 rustic, rustic, +
 community, community, +
 metropolitan, metropolitan, +
 exotic, exotic, +
 conventional, conventional, +
 convention, convention, +
 patriarchal, patriarchal, +
 institutionalize, institutionalize, +
 clan, clan, +
 status, status, +
 taboo, taboo, +
 ethics, ethics, +
 genteel, genteel, +
 marital, marital, +
 polygamous, polygamous, +
 household, household, +
 parasite, parasite, +
 parasitic, parasitic, +
 mimicry, mimicry, +
 symbiosis, symbiosis, +
 symbiotic, symbiotic, +
 creature, creature, +
 organism, organism, +
 strain, strain, +
 species, species, +
 vital, vital, +
 ripe, ripe, +
 evolve, evolve, +
 evolutionary, evolutionary, +
 Darwinism, Darwinism, +
 extinct, extinct, +
 extinction, extinction, +
 breed, breed, +
 reproduction, reproduction, +
 proliferate, proliferate, +
 propagate, propagate, +
 subsist, subsist, +
 exist, exist, +
 posterity, posterity, +
 fermentation, fermentation, +
 respiration, respiration, +
 stodgy, stodgy, +
 secrete, secrete, +
 secretion, secretion, +
 assimilate, assimilate, +
 immune, immune, +
 immunity, immunity, +
 metabolism, metabolism, +
 morphology, morphology, +
 microscope, microscope, +
 calorie, calorie, +
 carbohydrate, carbohydrate, +
 glucose, glucose, +
 protein, protein, +
 organ, organ, +
 rank, rank, +
 discrete, discrete, +
 symmetry, symmetry, +
 sequence, sequence, +
 dual, dual, +
 induction, induction, +
 inference, inference, +
 circular, circular, +
 circulate, circulate, +
 circulation, circulation, +
 probability, probability, +
 qualitative, qualitative, +
 dispersion, dispersion, +
 vertical, vertical, +
 plumb, plumb, +
 upright, upright, +
 cubic, cubic, +
 circuitous, circuitous, +
 facet, facet, +
 sphere, sphere, +
 loop, loop, +
 triangle, triangle, +
 circumference, circumference, +
 cone, cone, +
 caliber, caliber, +
 diameter, diameter, +
 figure, figure, +
 circle, circle, +
 cube, cube, +
 column, column, +
 angle, angle, +
 area, area, +
 ellipse, ellipse, +
 diagram, diagram, +
 polygon, polygon, +
 intersect, intersect, +
 radius, radius, +
 rectangle, rectangle, +
 square, square, +
 parallel, parallel, +
 deduction, deduction, +
 degree, degree, +
 geometry, geometry, +
 mathematics, mathematics, +
 arithmetic, arithmetic, +
 statistics, statistics, +
 even, even, +
 decimal, decimal, +
 ratio, ratio, +
 estimate, estimate, +
 calculate, calculate, +
 enumerate, enumerate, +
 evaluate, evaluate, +
 variant, variant, +
 variable, variable, +
 abacus, abacus, +
 aggregate, aggregate, +
 sum, sum, +
 calculation, calculation, +
 calculator, calculator, +
 calculus, calculus, +
 digit, digit, +
 function, function, +
 subtract, subtract, +
 addition, addition, +
 minus, minus, +
 multiply, multiply, +
 multiplication, multiplication, +
 numeral, numeral, +
 percentage, percentage, +
 plus, plus, +
 equation, equation, +
 quarter, quarter, +
 fraction, fraction, +
 divide, divide, +
 celestial, celestial, +
 universe, universe, +
 universal, universal, +
 orbit, orbit, +
 comet, comet, +
 galaxy, galaxy, +
 constellation, constellation, +
 asteroid, asteroid, +
 planet, planet, +
 chondrite, chondrite, +
 cluster, cluster, +
 meteor, meteor, +
 dwarf, dwarf, +
 star, star, +
 stellar, stellar, +
 cosmos, cosmos, +
 cosmic, cosmic, +
 cosmology, cosmology, +
 nebula, nebula, +
 quasar, quasar, +
 space, space, +
 planeroid, planeroid, +
 intergalactic, intergalactic, +
 interplanetary, interplanetary, +
 interstellar, interstellar, +
 corona, corona, +
 chromosphere, chromosphere, +
 solar, solar, +
 photosphere, photosphere, +
 pseudoscience, pseudoscience, +
 astronomy, astronomy, +
 astronomical, astronomical, +
 astrology, astrology, +
 astrophysics, astrophysics, +
 Jupiter, Jupiter, +
 lunar, lunar, +
 Mars, Mars, +
 mercury, mercury, +
 Earth, Earth, +
 Uranus, Uranus, +
 Venus, Venus, +
 Pluto, Pluto, +
 Neptune, Neptune, +
 Saturn, Saturn, +
 emission, emission, +
 infinite, infinite, +
 interferometer, interferometer, +
 radiation, radiation, +
 revolve, revolve, +
 land, land, +
 spaceship, spaceship, +
 spacecraft, spacecraft, +
 telescope, telescope, +
 compatible, compatible, +
 boundary, boundary, +
 boundless, boundless, +
 endless, endless, +
 cohesive, cohesive, +
 horizontal, horizontal, +
 bulk, bulk, +
 brim, brim, +
 edge, edge, +
 rim, rim, +
 brink, brink, +
 constituent, constituent, +
 dimension, dimension, +
 elasticity, elasticity, +
 cohesion, cohesion, +
 mechanics, mechanics, +
 pressure, pressure, +
 gravity, gravity, +
 impetus, impetus, +
 release, release, +
 decelerate, decelerate, +
 precipitate, precipitate, +
 expedite, expedite, +
 quiver, quiver, +
 jar, jar, +
 vibration, vibration, +
 discharge, discharge, +
 shrink, shrink, +
 diffuse, diffuse, +
 emit, emit, +
 transpire, transpire, +
 constitute, constitute, +
 eject, eject, +
 radiate, radiate, +
 molecule, molecule, +
 ion, ion, +
 electron, electron, +
 neutron, neutron, +
 nucleus, nucleus, +
 proton, proton, +
 atom, atom, +
 nuclear, nuclear, +
 physics, physics, +
 fusion, fusion, +
 thermometer, thermometer, +
 temperature, temperature, +
 thaw, thaw, +
 centigrade, centigrade, +
 clot, clot, +
 sublimate, sublimate, +
 distillation, distillation, +
 chaos, chaos, +
 clutter, clutter, +
 equilibrium, equilibrium, +
 density, density, +
 liquid, liquid, +
 dilute, dilute, +
 dehydrate, dehydrate, +
 declivity, declivity, +
 foam, foam, +
 ventilation, ventilation, +
 evaporate, evaporate, +
 evaporation, evaporation, +
 thermodynamics, thermodynamics, +
 friction, friction, +
 attrition, attrition, +
 chafe, chafe, +
 resonance, resonance, +
 echo, echo, +
 ultrasonics, ultrasonics, +
 sonar, sonar, +
 acoustic, acoustic, +
 band, band, +
 charge, charge, +
 electricity, electricity, +
 electromagnet, electromagnet, +
 electromagnetism, electromagnetism, +
 electronic, electronic, +
 electronics, electronics, +
 amplifier, amplifier, +
 battery, battery, +
 chip, chip, +
 conductor, conductor, +
 insulator, insulator, +
 magnet, magnet, +
 magnetism, magnetism, +
 semiconductor, semiconductor, +
 transistor, transistor, +
 ultraviolet, ultraviolet, +
 microwave, microwave, +
 mechanics, mechanics, +
 gravitation, gravitation, +
 oscillation, oscillation, +
 statics, statics, +
 relativity, relativity, +
 velocity, velocity, +
 dynamics, dynamics, +
 force, force, +
 current, current, +
 accelerate, accelerate, +
 acceleration, acceleration, +
 transparent, transparent, +
 opaque, opaque, +
 translucent, translucent, +
 optical, optical, +
 optics, optics, +
 ray, ray, +
 spectrum, spectrum, +
 wavelength, wavelength, +
 magnifier, magnifier, +
 lens, lens, +
 contagious, contagious, +
 catching, catching, +
 infect, infect, +
 infectious, infectious, +
 contract, contract, +
 acute, acute, +
 feverish, feverish, +
 invalid, invalid, +
 morbid, morbid, +
 numb, numb, +
 unconscious, unconscious, +
 fragile, fragile, +
 susceptible, susceptible, +
 malady, malady, +
 corpse, corpse, +
 gash, gash, +
 symptom, symptom, +
 fracture, fracture, +
 bleed, bleed, +
 tingle, tingle, +
 recur, recur, +
 relapse, relapse, +
 bruise, bruise, +
 fester, fester, +
 intoxicate, intoxicate, +
 survive, survive, +
 diagnose, diagnose, +
 diagnosis, diagnosis, +
 inject, inject, +
 heal, heal, +
 remedy, remedy, +
 treatment, treatment, +
 prescription, prescription, +
 dissect, dissect, +
 sterile, sterile, +
 clinic, clinic, +
 anatomy, anatomy, +
 healthful, healthful, +
 condition, condition, +
 hygiene, hygiene, +
 sanitation, sanitation, +
 physical, physical, +
 sustenance, sustenance, +
 malnourished, malnourished, +
 nutrition, nutrition, +
 mental, mental, +
 spiritual, spiritual, +
 subject, subject, +
 picturesque, picturesque, +
 vivid, vivid, +
 sculpture, sculpture, +
 statue, statue, +
 draw, draw, +
 gallery, gallery, +
 portrait, portrait, +
 impressionism, impressionism, +
 portray, portray, +
 mold, mold, +
 embroider, embroider, +
 tragedy, tragedy, +
 opera, opera, +
 enact, enact, +
 pose, pose, +
 rehearse, rehearse, +
 prelude, prelude, +
 character, character, +
 role, role, +
 design, design, +
 profile, profile, +
 renaissance, renaissance, +
 conjure, conjure, +
 aesthetic, aesthetic, +
 romantic, romantic, +
 euphonious, euphonious, +
 harsh, harsh, +
 jazz, jazz, +
 movement, movement, +
 note, note, +
 score, score, +
 instrument, instrument, +
 lyric, lyric, +
 conservatory, conservatory, +
 episode, episode, +
 orchestra, orchestra, +
 chorus, chorus, +
 concert, concert, +
 band, band, +
 record, record, +
 record, record, +
 percussion, percussion, +
 string, string, +
 wind, wind, +
 implicit, implicit, +
 concise, concise, +
 succinct, succinct, +
 fluent, fluent, +
 cogent, cogent, +
 persuasive, persuasive, +
 character, character, +
 glossary, glossary, +
 dialect, dialect, +
 clause, clause, +
 linguistics, linguistics, +
 phonetics, phonetics, +
 tense, tense, +
 version, version, +
 genre, genre, +
 tag, tag, +
 slogan, slogan, +
 lyric, lyric, +
 verse, verse, +
 fiction, fiction, +
 byword, byword, +
 fable, fable, +
 term, term, +
 maxim, maxim, +
 satire, satire, +
 farce, farce, +
 adage, adage, +
 synopsis, synopsis, +
 compile, compile, +
 entitle, entitle, +
 emend, emend, +
 paraphrase, paraphrase, +
 adapt, adapt, +
 adaptable, adaptable, +
 adaptation, adaptation, +
 excerpt, excerpt, +
 abstract, abstract, +
 abstraction, abstraction, +
 abridge, abridge, +
 coin, coin, +
 factious, factious, +
 partisan, partisan, +
 board, board, +
 Senate, Senate, +
 Congress, Congress, +
 diplomatic, diplomatic, +
 diplomacy, diplomacy, +
 confederate, confederate, +
 league, league, +
 affiliate, affiliate, +
 unconventional, unconventional, +
 dictatorial, dictatorial, +
 domestic, domestic, +
 potent, potent, +
 authoritative, authoritative, +
 influential, influential, +
 centralized, centralized, +
 authority, authority, +
 privilege, privilege, +
 democracy, democracy, +
 petition, petition, +
 domain, domain, +
 territory, territory, +
 nationality, nationality, +
 kingdom, kingdom, +
 realm, realm, +
 regimen, regimen, +
 sovereignty, sovereignty, +
 autonomy, autonomy, +
 commission, commission, +
 committee, committee, +
 election, election, +
 ballot, ballot, +
 ideology, ideology, +
