⊙ 词汇	♠释义	例句	=► 词根词缀
⊙ Antarctic	♠adj. 南极的 n. [the ~]南极地区, 南极洲		=► 来自ἀντ-("[[ant-]], [[against]], [[opposed]]") + ἀρκτικός("[[Arctic]]"), 来自古希腊语ἄρκτος("[[bear]]")
⊙ pole	♠n. (地)极; 截然相反的两极之一		=►
⊙ polar	♠adj. 极地的, 近极地的; 对立的		=►
⊙ axis	♠n. 轴, 轴线		=►
⊙ deteriorate	♠v. 变坏, 恶化	Her health deteriorated rapidly, and she died shortly afterwards. 她的健康状况急剧恶化，不久便去世了。	=►
⊙ aggravate	♠v. 加重, 加剧, 使恶化	Military intervention will only aggravate (v.) the conflict even further.军事介入只会使冲突加剧。	=► 前缀ag-同ad-, 向，往。词根grav, 重，见gravity, 重力。
⊙ degrade	♠v. 降解; 降低…的身份；侮辱…的人格；使受屈辱; 使恶化, 使退化		=►
⊙ upgrade	♠v. 使升级; 提高, 改善		=►
⊙ erode	♠v. 侵蚀, 腐蚀		=►
⊙ Mediterranean	♠adj. 地中海的; 地中海地区的 n. 地中海; 地中海地区		=►
⊙ Atlantic	♠adj. 大西洋的 n. [the ~]大西洋		=►
⊙ pacific	♠adj. 平静的, 和平的; [P~]太平洋的 n. [the ~]太平洋		=►
⊙ ocean	♠n. 海洋; (五大洋之一的)洋		=►
⊙ marine	♠adj. 海生的, 海洋的; 海事的 n. 水兵, 海军陆战队士兵		=►
⊙ navigation	♠n. 航行; 航海		=►  -nav-船 + -ig-驾驶,引导 + -ation名词词尾
⊙ gulf	♠n. 海湾		=►
⊙ beach	♠n. 海滩, 河滩		=►
⊙ coast	♠n. 海岸, 海滨		=►
⊙ shore	♠n. (海、湖等大水域的)岸, 滨		=►
⊙ tide	♠n. 趋势, 潮流; 潮汐		=►
⊙ current	♠adj. 当前的; 流通的 n. (河、湖或海的)水流; 电流; 趋向		=►
⊙ brook	♠n. 小河, 溪		=► 可能来自break, 分开。
⊙ stream	♠n. 小河, 溪; 流 v. 流动, 流出		=►
⊙ source	♠n. 河的源头; 根源		=►
⊙ shallow	♠adj. 浅的; 肤浅的, 浅薄的		=►
⊙ superficial	♠adj. 表皮的, 表层的		=►
⊙ flat	♠adj. 平坦的; 扁平的; 单调的		=►
⊙ smooth	♠adj. 光滑的; 平稳的; 流畅的		=►
⊙ rough	♠adj. 粗糙的; 粗略的		=►
⊙ sandy	♠adj. 铺满沙的; 含沙的		=►
⊙ stony	♠adj. 多石的; 石头的		=►
⊙ vertical	♠adj. 垂直的, 直立的		=► 来自 vertex,顶点，引申词义垂直的。“顶点”之义何来？词根vert表“转”，它本指盘旋而上的东西，到达顶部就形成了一个顶点。
⊙ steep	♠adj. 陡峭的, 垂直的		=►
⊙ parallel	♠n. 平行线; 相似之物; 相似之处 adj. 平行的 v. 与…相似; 比的上		=►
⊙ narrow	♠adj. 狭窄的; 有局限的 n. [~s]海峡 v. 变窄		=►
⊙ Oceania	♠n. 大洋洲		=►
⊙ mainland	♠n. 大陆, 本土		=►
⊙ peninsula	♠n. 半岛		=►  pen-几乎 + -insul-岛 + -a名词词尾 → 差不多是一个岛
⊙ climate	♠n. 气候; 风气, 思潮, 环境		=►
⊙ weather	♠n. 天气, 气象		=►
⊙ meteorology	♠n. 气象学		=► 来自meta-,在上，-eora,空中的，词源同air.引申词义气象。后特别用于指流星，可能因流星比较有代表性。其原义见：aerial meteors,风；aqueous meteors,雨；luminous meteors,极光；igneous meteors,流星。
⊙ mild	♠adj. 温和的; 不严重的		=►
⊙ heating	♠n. 供暖; 暖气装置		=►
⊙ moderate	♠adj. 适度的; 温和的; 中等的 v. (使)缓和		=►
⊙ warm	♠adj. 温暖的 v. (使)变暖		=►
⊙ thermal	♠adj. 热量的		=►
⊙ tropics	♠n. [the ~]热带地区		=► 出自希腊根词trop'turn'（转向，转动）。用tropic 来指“回归线”是因为回归线是太阳所能到达的极限位置，太阳到达此处，不是转向南去，就是转向北去。
⊙ arid	♠adj. 干燥的, 干旱的; 枯燥的		=► 发音释义：['ærɪd] adj.干旱的；不毛的，[农] 荒芜的 结构分析：arid = ar（干的）+id（形容词后缀）→干旱的 词源解释：ar←拉丁语arere（干的）←原始印欧词根as（燃烧、发光） 同源词：ash（灰烬），ardent（热情的） 衍生词：aridity（干旱、乏味）
⊙ moist	♠adj. 潮湿的, 湿润的		=►
⊙ damp	♠adj. 潮湿的, 湿气重的		=►
⊙ humid	♠adj. 潮湿的, 湿热的		=►
⊙ snowy	♠adj. 下雪多的, 被雪覆盖的		=►
⊙ frost	♠n. 霜; 霜冻; 严寒		=►
⊙ hail	♠n. 雹, 冰雹 v. 赞扬; 招呼; 下雹		=►
⊙ thaw	♠v. 解冻, 融解, 融化 n. 解冻时期		=► 来自古英语 thawian,来自 Proto-Germanicthawon,来自 PIEta,融化，词源同拉丁语 tabes,融化， 腐化。
⊙ chill	♠n. 寒冷; 害怕 v. (使)变冷; 使恐惧		=►
⊙ freeze	♠v. 结冰 n. 霜冻; 严寒期		=►
⊙ frigid	♠adj. 寒冷的		=► 来自拉丁语frigidus, 寒冷的，来自PIEsrig, 冷，词源同 fridge冰箱,sang-froid. 同时，用于指性冷淡。
⊙ tremble	♠v. n. 战栗, 颤抖		=►
⊙ shiver	♠v. 颤抖, 哆嗦, 发抖		=►
⊙ thunder	♠n. 雷; 雷声 v. 打雷; 轰隆隆地快速移动		=►
⊙ lightning	♠n. 闪电 adj. 闪电般的, 极快的		=►
⊙ stormy	♠adj. 有暴风雨的; 争吵激烈的; (大海)波涛汹涌的		=►
⊙ downpour	♠n. 倾盆大雨		=►
⊙ rainfall	♠n. 降雨量		=►
⊙ sprinkle	♠v. 撒, 洒; 下小雨 n. 少量; 小雨		=► "来自 PIEspreg,播，洒，溅，词源同 spark(火花，火星),spread,sperm(精子；精液).-le,表反复。
"
⊙ rainbow	♠n. 彩虹		=►
⊙ shower	♠n. 阵雨; (一)阵; 淋浴		=►
⊙ Celsius	♠adj. 摄氏的 n. 摄氏温度		=►
⊙ temperature	♠n. 气温; 体温; 温度		=►
⊙ forecast	♠n. 预测, 预报 v. 预测; 预言		=► fore-,在前。cast, 投射。用于天气预报。
⊙ peak	♠n. 山峰; 顶点 v. 达到最大值		=►
⊙ mount	♠v. 爬上, 登上; 攀登; 渐渐增加 n. [M~]山		=►
⊙ mountain	♠n. 山, 山岳, 高山		=►
⊙ range	♠n. 山脉; 范围		=►
⊙ ridge	♠n. 山脊, 山脉 v. 使隆起		=► 词源同 ring,curve.后引申词义山脊，山脉。
⊙ slope	♠n. 山坡; 斜坡 v. 倾斜; 有坡度		=► 来自辅音丛 sl-,滑的，滑动的，词源同 slip,slide.引申比喻义斜坡，陡坡等。
⊙ valley	♠n. 山谷, 溪谷		=►
⊙ hillside	♠n. (小山的)山腰, 山坡		=►
⊙ overlook	♠v. 俯瞰, 远眺; 未注意到的		=►
⊙ southern	♠adj. 南部的; 南方的		=►
⊙ southeast	♠n. 东南方; 东南部 adj. 东南方的; 东南部的		=►
⊙ southwest	♠n. 西南方; 西南部 adj. 西南方的; 西南部的		=►
⊙ northeast	♠n. 东北的; 东北部 adj. 东北方的; 东北部的		=►
⊙ northwest	♠n. 西北方; 西北部 adj. 西北方的; 西北部的		=►
⊙ eastern	♠adj. 东部的; 东方的		=►
⊙ oriental	♠adj. 东方的(尤指中国和日本的)		=► 来自拉丁语oriens,东方，太阳升起的方向，来自oriri,升起，来自PIEergh,升起，词源同 origin,orchestra.引申词义使朝向东方，定位。
⊙ inevitable	♠adj. 必然的, 不可避免的		=► in-,不，非，e-,向外，-vit,分开，离开，词源同divide,widow.即不可离开的，引申词义无可避免的。
⊙ irreversible	♠adj. 不可逆转的; 不可挽回的		=►  ir-不,无 + re-回,向后 + -vers-转 + -ible形容词词尾,被动意义 → 转不回去的
⊙ irregularly	♠adv. 不规则地; 不合常规地		=►
⊙ inappropriate	♠adj. 不合适的		=►
⊙ abnormal	♠adj. 不正常的, 反常的, 变态的		=►
⊙ sediment	♠n. 沉淀物; 沉积物		=► 来自拉丁语 sedere,坐下，词源同 sit,seat.-ment,名词后缀。引申比喻义沉积物，沉淀物。
⊙ silt	♠n. 淤泥, 泥沙 v. (使)淤塞		=► 来自古英语 sealt,盐，词源同 salt.原指海水沉积物，后引申词义淤泥，淤沙，淤积，淤塞等。
⊙ muddy	♠adj. 泥泞的; 浑浊的		=►
⊙ clay	♠n. 黏土, 陶土		=►
⊙ dirt	♠n. 污垢, 灰尘; 泥土		=►
⊙ rural	♠adj. 农村的, 乡村的; 田园的		=► 来自拉丁语 ruralis,乡村的，来自 rus,开阔地，乡村，来自 PIEreue,展开，词源同 room,rustic.
⊙ suburb	♠n. 郊区, 郊外, 近郊		=►
⊙ outskirts	♠n. 郊区, 市郊		=►
⊙ remote	♠adj. 遥远的; 偏僻的; 疏远的		=► re-,向后，往回，-mot,移动，词源同 motion,remove.比喻用法。
⊙ desolate	♠adj. 荒凉的		=►
⊙ distant	♠adj. 疏远的; 遥远的		=►
⊙ adjacent	♠adj. 邻近的, 毗连的		=►
⊙ toxic	♠adj. 有毒的		=►
⊙ pollution	♠n. 污染		=►
⊙ pollutant	♠n. 污染物质		=►
⊙ contaminate	♠v. 污染, 弄脏		=► con-, 强调。-tam, 接触，来自-tag变体，词源同tactile, tangible。即被接触过的，被污染的。
⊙ geology	♠n. 地质学; 地质状况		=►
⊙ border	♠n. 边界; 边界地区; 镶边 v. 和…毗邻; 形成…边界		=►
⊙ margin	♠n. 边缘; 页面空白; 余地		=►
⊙ fringe	♠n. 边缘; 刘海儿 adj. 次要的; 非主流的		=►
⊙ plate	♠n. 盘子; (地质学中的大陆)板块		=►
⊙ debris	♠n. 碎片, 残骸		=► de-, 分开，散开。-bris, 破开，词源同break, brittle. 即破成残骸的。
⊙ crack	♠v. 破裂; 发出爆裂声 n. 裂缝; 缝隙		=►
⊙ gap	♠n. 缺口, 裂缝; 差距; 空白		=►
⊙ splendid	♠adj. 极好的; 壮观的		=►  -splend-发光 + -id形容词词尾
⊙ grand	♠adj. 宏大的; 豪华的; 宏伟的; 极好的		=►
⊙ magnificent	♠adj. 壮丽的, 宏伟的, 令人印象深刻的		=►
⊙ super	♠adj. 超级的, 极好的		=►
⊙ interesting	♠adj. 有趣的; 引人入胜的		=►
⊙ dramatic	♠adj. 戏剧的; 引人注目的		=►
⊙ wilderness	♠n. 荒野		=►
⊙ desert	♠n. 沙漠		=►
⊙ deforest	♠v. 毁掉…森林		=►
⊙ barren	♠adj. 贫瘠的, 荒芜的; 不结果实的		=► 可能同bare, 裸露的，荒凉的。
⊙ fertile	♠adj. 肥沃的, 富饶的		=►
⊙ fertilise	♠v. 施肥于		=►
⊙ solar	♠adj. 太阳的, 日光的		=►
⊙ lunar	♠adj. 月亮的, 月球的		=►
⊙ calendar	♠n. 日历; 历法		=► 来自词根cal, 叫喊，词源同claim.源自古罗马时期在月初第一天进行收帐，后代指日历。
⊙ sunrise	♠n. 日出		=►
⊙ sunset	♠n. 日落		=►
⊙ eclipse	♠n. 日食; 月食		=► ec-, 向外。-lipse, 留下，词源同leave, ellipse. 即留下一块阴影的。
⊙ dusk	♠n. 黄昏, 傍晚		=►
⊙ heaven	♠n. 天堂; 极乐(之地); [the ~s]天空		=►
⊙ paradise	♠n. 天堂; 乐园, 福地		=►
⊙ sunshine	♠n. 阳光, 日光		=►
⊙ shade	♠n. 阴影部分; 背阴处 v. 给…遮挡(光线)		=►
⊙ shadow	♠n. 影子, 阴影		=►
⊙ vapour	♠n. 蒸汽; 水汽		=►
⊙ evaporate	♠v. (使)蒸发; 消失		=►
⊙ circulate	♠v. (使)循环, (使)流通; (信息等)传播		=►
⊙ precipitate	♠v. (水汽等)凝结; 沉淀		=► pre-,在前，-cip,头，词源同cap,captain,-ate,使。即使头在前，一头栽下，后用于气象术语，降水，降雪，引申物理术语沉淀，沉积，积灰，如Electrostatic Precipitator,电除尘器。
⊙ reservoir	♠n. 水库, 蓄水池		=►
⊙ waterfall	♠n. 瀑布		=►
⊙ fountain	♠n. 喷泉; 源泉		=►
⊙ spring	♠n. 春天; 泉水; 弹簧		=►
⊙ dew	♠n. 露水		=► 来自PIEdheu, 流动，用于指露珠。
⊙ pour	♠v. 倾泻; 倒; (雨)倾盆而下		=►
⊙ drain	♠v. 排空; 流出 n. 耗竭		=►
⊙ drip	♠v. 滴出; 滴下 n. 水滴, 滴液		=►
⊙ drown	♠v. 淹死; 浸泡		=► 同源词：drink, drench搭配：drown oneself in 埋头于…
⊙ blow	♠v. 吹; (风吹); 吹动 n. 用力的一击; 打击, 挫折		=►
⊙ puff	♠v. 喷出; 喘息 n. (吹出的)一股, 一缕		=►
⊙ gush	♠v. n. 涌出		=► 来自PIEgheu, 涌出，倾泻，词源同 foundry( 铸造，铸造类) , gut( 肠，肠道),  gust(一阵强风，一阵狂风；（雨、声音、感情等的）一阵突发，爆发).
⊙ dense	♠adj. 密集的; 稠密的		=►
⊙ intensity	♠n. 强度; 强烈		=►  in-入,向内 + -tens-延伸 + -ity名词词尾 → 拉紧,绷紧
⊙ intensive	♠adj. 加强的, 集中的, 密集的		=►
⊙ emerge	♠v. 浮现, 露出; 摆脱出来; 暴露		=►
⊙ flash	♠v. (使)闪光; (使)闪现; 快速发送 n. 闪光(灯); 闪现		=►
⊙ float	♠v. 飘浮; 漂浮		=►
⊙ environment	♠n. 自然环境; 环境, 周围状况		=►
⊙ surrounding	♠adj. 周围的, 附近的		=►
⊙ condition	♠n. 条件; 情况, 状态		=►
⊙ situation	♠n. 情况, 处境, 形势		=►
⊙ nature	♠n. 大自然; 本性; 性质		=►
⊙ natural	♠adj. 自然的; 天然的		=►
⊙ artificial	♠adj. 人造的		=►
⊙ synthetic	♠adj. 人造的, 合成的 n. [~s]合成物		=►
⊙ petrol	♠n. [英]汽油		=►
⊙ gas	♠n. 气体; [美]汽油		=►
⊙ gasoline	♠n. [美]汽油		=►
⊙ petroleum	♠n. 石油		=► petr-是词根“石头”，跟英文名Peter同源，这个名字大概象征如岩石一般的坚强性格；ol 即oil（油）；-eum为名词后缀。所以字面义就是词义。petroleum（石油）简写作petrol（汽油），这似乎也在暗示着汽油是由石油精炼而成。
⊙ Chapter-2 植物研究	♠		=►
⊙ 单词	♠解释		=►
⊙ photosynthesis	♠n. 光合作用		=►
⊙ respire	♠v. 呼吸		=►
⊙ dioxide	♠n. 二氧化物		=►  di-二,双 + ox(-oxy-)氧 + -ide名词词尾
⊙ vegetation	♠n. 植物, 草木		=►  -veget-活力 + -ation名词词尾
⊙ herb	♠n. 药草; 香草		=►
⊙ perennial	♠n. 多年生植物 adj. 长期的, 持久的		=► per-,整个的，-enn,年，词源同annual.原义为终年的，终年不凋的，后引申词义多年的，长久的。
⊙ botany	♠n. 植物学		=►  botan- (植物) + -y (学问)
⊙ ecology	♠n. 生态学; 生态		=►  eco- (环境) + -logy (学问)
⊙ ecosystem	♠n. 生态系统		=►  eco- (环境) + system (系统)
⊙ eco-friendly	♠adj. 对生态环境友好的, 不防害生态环境的		=►  eco- (环境) + friendly (友好的)
⊙ horticulture	♠n. 园艺学; 园艺		=►  hort- (花园) + cult- (耕种) + -ure (名词后缀)
⊙ organism	♠n. 有机体, 生物		=►  organ- (器官) + -ism (状态)
⊙ genetics	♠n. 遗传学		=►  gen- (产生, 起源) + -etics (学科)
⊙ mutation	♠n. 变异, 突变		=►  mut- (改变) + -ation (名词后缀)
⊙ variation	♠n. 变种; 变异		=►  vari- (变化) + -ation (名词后缀)
⊙ diversity	♠n. 多样性, 多元性		=►  di- (分开) + vers- (转) + -ity (名词后缀)
⊙ hybridisation	♠n. 杂交		=►  hybrid (杂交) + -isation (动词后缀)
⊙ classify	♠v. 分类		=►  class- (类别) + -ify (使...化)
⊙ reproduce	♠v. 繁殖		=►  re- (再次) + produc- (生产)
⊙ evolve	♠v. 进化; (使)逐渐形成/演化; (使)发展		=►  e- (向外) + volv- (转)
⊙ fluctuate	♠v. 波动, 起伏		=►  fluct- (波动) + -ate (动词后缀)
⊙ reclaim	♠v. 开垦, 开拓, 利用		=►  re- (再次) + claim (要求)
⊙ cultivate	♠v. 耕作, 种植; 培养		=►  cult- (耕种) + -iv- + -ate (动词后缀)
⊙ sow	♠v. 播种		=►
⊙ harvest	♠v. 收割 n. 收获; 收成		=►
⊙ pluck	♠v. 拾; 摘		=► 来自古英语pluccian,拔出，拉，扯，来自West-Germanicplokken,拔，借自拉丁语pilare,拔 头发，来自pilus,头发，词源同pile,depilatory.
⊙ pick	♠v. 拾; 摘		=►
⊙ yield	♠n. 产量; 投资收益 v. 出产; 屈服, 服从		=►
⊙ rear	♠v. 培养, 抚养; 饲养 n. 后部		=► 来自古英语 raeran,升起，上升，来自 Proto-Germanicrisana,上升，举起，来自 PIErei,上升， 举起，词源同 rise,raise.引申词义抚养，养育。
⊙ arable	♠adj. 适于耕种的		=►  ar- (耕种) + -able (可...的)
⊙ plough	♠n. 犁 v. 耕(地)		=►
⊙ spade	♠n. 铁锹, 铲子;		=►
⊙ rake	♠n. 耙子 v. 耙; 搜索		=►
⊙ stack	♠n. 堆, 垛 v. 堆积		=►
⊙ heap	♠n. (大而杂乱的)堆		=►
⊙ bundle	♠n. 捆, 包, 束		=►
⊙ bunch	♠n. 一束(花), 一串(钥匙)		=►
⊙ vase	♠n. 花瓶, 瓶		=►
⊙ sunlight	♠n. 阳光		=►  sun (太阳) + light (光)
⊙ short-day	♠adj. 短日照的		=►  short (短) + day (日)
⊙ shade-tolerant	♠adj. 耐阴的		=►  shade (阴影) + tolerant (忍耐的)
⊙ fungus	♠n. 真菌		=►
⊙ mould	♠n. 霉菌 v. 发霉		=►
⊙ pollen	♠n. 花粉 v. 给…授粉		=►
⊙ germinate	♠v. 发芽; 开始生长		=►  germin- (发芽) + -ate (动词后缀)
⊙ seed	♠n. 种子, 籽; 萌芽		=►
⊙ burgeon	♠n. 嫩枝, 新芽 v. 急速增长; 发芽, 抽枝		=► bur, 蓓蕾，繁殖，来自bear, 生育。
⊙ bud	♠n. 芽, 苞, 蓓蕾		=►
⊙ flower	♠n. 花朵 v. 开花		=►
⊙ blossom	♠n. 花朵 v. 开花		=►
⊙ bloom	♠n. 花朵 v. 开花		=►
⊙ scent	♠n. 气味; 香味 v. 使具有香味		=►
⊙ aromatic	♠adj. 芳香的		=►  aromat- (香料) + -ic (形容词后缀)
⊙ ripen	♠v. (使)成熟		=►  ripe (成熟的) + -en (动词后缀)
⊙ fruit	♠v. 结果实 n. 成果; 水果; 果实		=►
⊙ wither	♠v. 枯萎		=►
⊙ decompose	♠v. 分解; 腐烂		=►  de- (除去) + compose (组成)
⊙ rot	♠v. 腐烂, 腐坏 n. 腐烂		=►
⊙ decay	♠v. 腐烂		=►  de- (向下) + cay- (落下)
⊙ stale	♠adj. 不新鲜的; 没有新意的, 陈腐的		=► 来自 Proto-Germanicstallaz,放置，固定位置， 来自 PIEstel,放置，站立，词源同 stall,stand.引申比喻义久放的，陈腐的，污浊的。
⊙ rainforest	♠n. 雨林		=►  rain (雨) + forest (森林)
⊙ jungle	♠n. (热带)丛林, 密林		=►  源自梵语 jangala (荒地)
⊙ plantation	♠n. 种植园; 栽植		=►  plant- (种植) + -ation (名词后缀)
⊙ field	♠n. 原野; 场地; 野外; 田地		=►
⊙ terrace	♠n. 梯田; 台阶; 阳台		=►  terr- (土地) + -ace (名词后缀)
⊙ timber	♠n. 木材, 木料; 林木		=► 来自 PIEdeme,建造， 修建，来自 PIEdom,屋子，住所，词源同 dome,domicile.后引申词义建筑材料，树木，木材， 木料等。
⊙ charcoal	♠n. 木炭		=►  char (烧焦) + coal (煤)
⊙ log	♠n. 原木; 日志		=►
⊙ logo	♠n. 标识, 标志, 徽标		=►  log- (词语, 逻辑) + -o (名词后缀)
⊙ forestry	♠n. 林学; 林业		=►  forest (森林) + -ry (学科)
⊙ branch	♠n. 树枝; 分支机构; 分店		=►
⊙ trunk	♠n. 树干; 躯干; 大箱子		=►
⊙ bough	♠n. a large branch of a tree 大树枝		=► 来自PIE bhagus, 肘，手臂。
⊙ root	♠n. 根 v. 生根		=►
⊙ hay	♠n. 干草		=►
⊙ straw	♠n. 稻草, 麦秆; 吸管		=►
⊙ reed	♠n. 芦苇		=►
⊙ thorn	♠n. 刺; 棘刺, 荆棘; 带刺的植物; 刺痛;		=►
⊙ weed	♠n. 杂草; 水草; 烟草; v. 给…除杂草;		=►
⊙ grass	♠n. 草; 草地		=►
⊙ meadow	♠n. 草地; 牧场;		=►
⊙ lawn	♠n. 草地, 草坪;		=►
⊙ olive	♠n. 橄榄; 橄榄树;		=►
⊙ pine	♠n. 松树; 松木;		=►
⊙ vine	♠n. 葡萄藤; 葡萄树		=►
⊙ violet	♠n. 堇菜; 紫罗兰; 紫罗兰色;		=►
⊙ tulip	♠n. 郁金香		=►
⊙ mint	♠n. 薄荷; 薄荷糖; 铸币厂; v. 铸造(硬币)		=►
⊙ reef	♠n. 礁, 暗礁;		=►
⊙ alga	♠n. 海藻; 水藻		=►
⊙ enzyme	♠n. 酶;		=►  en- (在...里面) + zyme (酵母)
⊙ catalyst	♠n. 催化剂; 触发因素; 促进因素;		=►  cata- (向下) + lys- (溶解, 分解) + -t (名词后缀)
⊙ release	♠v. n. 释放; 发布		=►  re- (回) + lease (松开)
⊙ emission	♠n. 排放, 散发; 排放物, 散发物		=►  e- (向外) + miss- (送) + -ion (名词后缀)
⊙ absorb	♠v. 吸收; 吸引全部注意力		=►  ab- (远离) + sorb- (吞噬)
⊙ circulation	♠n. 流通; 循环; 流传		=►  circ- (圆) + -ul- (小) + -ation (名词后缀)
⊙ exceed	♠v. 超过; 超越;		=►  ex- (向外) + ceed (走)
⊙ uptake	♠v. 摄入; 领会		=►  up (向上) + take (拿)
⊙ nutrient	♠n. 营养物质		=►  nutr- (营养) + -ient (名词后缀)
⊙ energy	♠n. 精力; 能量; 能源		=►  en- (在...里面) + erg- (工作, 力量) + -y (名词后缀)
⊙ surroundings	♠n. (周围的)环境		=►  sur- (在...上面) + round (圆) + -ing (名词后缀)
⊙ mechanism	♠n. 构造; 机制		=►  mechan- (机器) + -ism (状态)
⊙ counterbalance	♠n. 起平衡作用的事物; 抗衡力 v. 抵消; 对…起平衡作用		=►  counter- (相反) + balance (平衡)
⊙ protect	♠v. 保护		=►  pro- (向前) + tect- (覆盖)
